,,NSA,
2012,Jan," 2,246 ",
,Feb," 1,736 ",
,Mar," 2,267 ",
,Apr," 2,917 ",
,May," 2,970 ",
,Jun," 2,570 ",
,Jul," 3,158 ",
,Aug," 3,016 ",
,Sep," 2,612 ",
,Oct," 2,690 ",
,Nov," 2,476 ",
,Dec," 2,427 ",
2013,Jan," 2,200 ",
,Feb," 1,951 ",
,Mar," 2,181 ",
,Apr," 2,888 ",
,May," 3,084 ",
,June," 2,897 ",
,July," 3,304 ",
,Aug," 3,535 ",
,Sep," 2,806 ",
,Oct," 2,980 ",
,Nov," 2,443 ",
,Dec," 2,420 ",
2014,Jan," 2,359 ",
,Feb," 2,099 ",
,Mar," 2,352 ",
,Apr," 2,952 ",
,May," 3,274 ",
,June," 3,264 ",
,July," 3,470 ",
,Aug," 3,576 ",
,Sept," 2,984 ",
,Oct," 3,008 ",
,Nov," 2,625 ",
,Dec," 2,417 ",
2015,Jan," 2,419 ",
,Feb," 2,099 ",
,Mar," 2,431 ",
,Apr," 3,155 ",
,May," 3,578 ",
,June," 3,250 ",
,July," 3,710 ",
,Aug," 3,708 ",
,Sep," 3,081 ",
,Oct," 3,454 ",
,Nov," 2,648 ",
,Dec," 2,581 ",
2016,Jan," 2,599 ",
,Feb," 2,314 ",
,Mar," 2,638 ",
,Apr," 3,115 ",
,May," 3,586 ",
,June," 3,267 ",
,July," 3,786 ",
,Aug," 3,757 ",
,Sep," 3,116 ",
,Oct," 3,346 ",
,Nov," 3,167 ",
,Dec," 2,919 ",
2017,Jan," 2,935 ",
,Feb," 2,370 ",
,Mar," 3,002 ",
,Apr," 3,756 ",
,May," 3,559 ",
,June," 3,562 ",
,July," 4,043 ",
,Aug," 3,957 ",
,Sep," 3,110 ",
,Oct," 3,202 ",
,Nov," 3,095 ",
,Dec," 2,624 ",
2018,Jan," 2,734 ",
,Feb," 2,573 ",
,Mar," 3,240 ",
,Apr," 3,404 ",
,May," 3,614 ",
,June," 3,503 ",
,July," 4,172 ",
,Aug," 4,126 ",
,Sep," 3,237 ",
,Oct," 3,491 ",
,Nov," 3,112 ",
,Dec," 3,075 ",
2019,Jan," 2,830 ",
,Feb," 2,372 ",
,Mar," 3,129 ",
,Apr," 3,199 ",
,May," 3,438 ",
,June," 3,727 ",
,July," 4,155 ",
,Aug," 4,418 ",
,Sep," 3,292 ",
,Oct," 3,731 ",
,Nov," 3,121 ",
,Dec," 3,445 ",
2020,Jan," 3,036 ",
,Feb," 2,512 ",
,Mar," 1,446 ",
,Apr, 95 ,
,May, 127 ,
,Jun, 176 ,
,Jul, 633 ,
,Aug, 993 ,
,Sep, 696 ,
,Oct, 570 ,
,Nov, 358 ,
,Dec, 458 ,
2021,Jan, 69 ,
,Feb, 73 ,
,Mar, 65 ,
,Apr, 81 ,
,May, 107 ,
,Jun, 158 ,
,Jul, 385 ,
,Aug, 919 ,
,Sep," 1,100 ",
,Oct," 1,327 ",
,Nov," 1,929 ",
,Dec," 1,244 ",
2022,Jan, 820 ,
,Feb," 1,050 ",
,Mar," 1,850 ",
,Apr," 2,150 ",
